Title,Text
ROLE OF PARLIAMENT,"In India, the parliamentary control overpublic finances is ensured through approval ofthe Annual Budget. While the Governmentformulates the Union Budget, Parliamentapproves it and also enforces accountability ofthe Executive. Articles 265, 266, 112 and 114 of theIndian Constitution outline the mechanism forparliamentary control over public purse. Itprovides that “no tax shall be levied or collectedexcept by authority of law, no expenditure canbe incurred except with the authorization of theLegislature; and President shall, in respect ofevery financial year, cause to be laid beforeParliament, “Annual Financial Statement”. TheParliamentary procedures relating to thebudgetary process are indicated in the followingparagraphs."
ROLE OF THE EXECUTIVE IN THEBUDGET PROCESS,"The executive authority of the UnionGovernment is vested in the President of Indiawho exercises this authority either directly or13BUDGET MANUALthrough officers in accordance withConstitutional provisions. However, the Presidenthas been placed under a firm Constitutionalobligation to act in accordance with the advicetendered by the Council of Ministers headed bythe Prime Minister, which is collectivelyresponsible to the Parliament. Each Minister holding a portfolio forformulating departmental policies is individuallyresponsible (as part of collective responsibility)to oversee the implementation and ensureefficient working of the administrative machineryunder his/her charge. The roles of the different Ministries/Departments and organizations in the Budgetpreparation process are briefly as under."
Scope of Budget,"Budget is presented to the Parliament insuch form as the Finance Ministry may decideafter considering the suggestions (if any) of theEstimates Committee. Broadly, the Budgetdocuments depict information relating toreceipts and expenditure for two years. They are:i. Budget Estimates (BE) of receipts andexpenditure in respect of current andensuing financial years;ii. For the current year through RevisedEstimates (RE); andiii. In addition, Actuals of the year pr eceedingthe current year is also reflected. Budget thus sets forth the receipts andthe expenditure of the Government for threeconsecutive years. The Annual Financial Statement showsthe receipts and expenditure of Government inthree separate parts under which Governmentaccounts are maintained viz. (i) ConsolidatedFund of India (ii) Contingency Fund of India andthe (iii) Public Account. As per Constitutionalprovisions (Article 112) the Annual FinancialStatement has to distinguish expenditure onrevenue account from other expenditure. It,therefore, includes (i) Revenue account and (ii)Capital account. The expenditure of certain categories,charged on the Consolidated Fund of India andnot subject to the Vote of Parliament, are alsoindicated separately in the Budget. TheDemands for Grants show separately therevenue and capital, and the charged and votedexpenditure. Estimates of receipts are classified intotax receipts, non-tax receipts, capital receipts(both Debt and Non-Debt) and also those whichare on revenue account and others which areon capital account. Two Statements presented to theParliament viz. the Macroeconomic FrameworkStatement, the Medium-Term Fiscal PolicyStatement cum the Fiscal Policy StrategyStatement under the FRBM Act, 2003, has furtherenhanced the scope of Budget to provide anassessment of the growth prospects of theeconomy, indicate the rolling targets for specificfiscal indicators as well as outline the strategicpriorities of the Government in the fiscal areafor the ensuing year."
SCRUTINY OF STATEMENT OFBUDGET ESTIMATES (SBE),"After the pre-Budget meetings are over,approved ceilings for expenditure, as finalisedin these meetings, are communicated includingceilings for Revenue and Capital expenditureseparately, on the basis of which FinancialAdvisers are required to prepare the Statementof Budget Estimates (Final) in the form prescribedin the Budget Circular and forward it to BudgetDivision. A software, viz. Union BudgetInformation System (UBIS) has been created forsubmission/processing and finalization of36BUDGET MANUALStatement of Budget Estimates and other Budgetdocuments. This system is available online,which can be accessed by Ministries/Departments for filling in the details of estimates.With the merger of Plan and Non Planclassification in Budget and accounts fromBudget for 2017-2018, the Central governmentexpenditure has been classified into six broadcategories as indicated below:A. Centre’s Expenditure :(i) Establishment Expenditure of the Centrewill include all the establishment relatedexpenditure of the Ministries/Departments. The budgetary proposalsfor this section will include establishmentexpenditure on attached and subordinateoffices, on various heads related toestablishment viz. salaries, medicalexpenses, wages, overtime allowances,foreign travel expenses, domestic travelexpenses, office expenses, materials andsupplies, publications, advertising andpublicity, training, other administrativeexpenses, POL, cost of ration, clothingand tentage, professional services, rentrates and taxes, royalty, pensionarycharges, rewards and minor works,motor vehicles, information technologyetc.(ii) Central Sector Schemes will include allthose schemes which are entirelyfunded by the Central government andimplemented by the Central Agencies viz.Ministries/Departments or variousagencies of GoI such as the autonomousbodies and other special purposevehicles. In some cases as an exception,and with the specific prior consent ofFinance Ministry (Department ofExpenditure) the Central Sector schemesmay be allowed to be implementedthrough the concerned Stateimplementing agencies. Exceptions tothis general rule shall apply to thoseschemes where specific approval hasbeen given by the Department ofExpenditure. The transfer of funds in suchcases will be done directly to theimplementing agencies and not throughthe State treasuries.(iii) Other Central Expenditure will includeprovisions made for the Centralexpenditure on CPSUs, autonomousbodies etc. and other expenditure, suchas interest payments, repayment of debt,contribution to internationalorganizations etc.; This includesexpenditure covered in the category ofschemes or establishment expenditure.In certain cases, such as ICAR, CSIR andAtomic Energy etc. which also implementsome Central Sector schemes, theprovision related to the schemes will beshown in the category of the CentralSector schemes.B. Centrally Sponsored Schemes and otherTransfers :(iv) Centrally Sponsored Schemes on theother hand will include the schemes asreflected in Statement 4A of ExpenditureProfile and also as approved by theCompetent Authority during the year.These schemes will be implemented bythe State/UT governments with the sharingpattern as approved by the Government.The central share for the schemes will berouted through the State/UT treasuries asgrants under various object heads, exceptin the case of Direct Benefit Transfers (DBT)where the functional heads could be used.In such cases, a mapping of theallocations under Centrally Sponsoredschemes not routed through Statetreasuries will be required to work out to37BUDGET MANUALknow the total quantum of resourcetransfers to the States within the CentrallySponsored schemes.(v) The category Finance CommissionTransfers will only come in the demandtitled “Transfers to States” under theDepartment of Expenditure, Ministry ofFinance.(vi) The category Other Transfers to Stateswill include all other transfers to statesuch as those made under NationalDisaster Response Fund, Assistance toschemes under proviso (i) to Article275(1) of the Constitution Expenditure Type: Expenditure iscategorized as : Voted Expenditure (E) Charged Expenditure (C) Recovery (Y) Receipt (R) M ajor Head Expenditure : In case ofExpenditure Type -Charged/Voted/Total, it is themajor head under which expenditure isincurred/proposed. In case of ExpenditureType-Receipt, it is the major head against whichthe receipt is netted. In case of ExpenditureType-Recovery, it is the same as Major HeadReceipt/Recovery. Major Head Receipt/Recovery: In caseof Expenditure Type-Receipt/Recovery, it is thereceipt or recovery major head. PSE Category: A PSE Category is aheading which appears by itself without anynumber preceding it in Part C of SBE and is agrouping for PSEs. All PSEs within a categoryare totalled at the end of the Category. The worksheet for the Statement ofBudget Estimates in the database will have oneworksheet for each Demand for Grant. Eachworksheet is identified separately as Dxx, wherexx is the demand number. Eg: D10, D25 etc.Both the Statement of Budget Estimates andDemands for Grant provisions for individualdemands is prepared in the same databaseworksheet. The complete worksheet functionsas input as well as final output for SBEs andDemands for Grants. In addition to these two,there are other functional areas and summaryareas defined within the worksheet, forintermediate calculation and further processingof other output statements. It may be relevant to mention here thatthe NIC of Ministry of Finance conducts acomprehensive training for the officers/staff ofMinistries/Departments handling the Budgetwork for a proper orientation andunderstanding of the SBE and the format inwhich the information is required to be sent tothe Budget Division."
SOME OTHER IMPORTANT BUDGETRELATED DOCUMENTS:,"DetailedDemands for Grants: The Detailed Demands for Grants areprepared by the Ministries/Departments on thebasis of the provisions made in the Demandsfor Grants. The Detailed Demands for Grants arelaid on the Table of the Lok Sabha, after thepresentation of the Budget but before discussionon Demands for Grants commences. These Detailed Demands show furtherbreak-up by objects of expenditure, provisionsof programmes/organizations for which theprovision is rupees one lakh or moreindividually. The estimates are followed bydetails of recoveries taken in reduction ofexpenditure in the accounts. In both theDemands for Grants and the Detailed Demandsfor Grants, totals are shown Major Head wiseand Section wise (Revenue and CapitalSections), with reference to:(i) Total provision;(ii) Charged provision; and(iii) Voted provision."
SPECIAL INSTRUCTIONS FOR THECOMPOSITE DEMAND FOR CIVIL‘PENSIONS’:,"Arrangements for submission ofestimates for inclusion in the demand ‘Pensions’is as follows:(i) The Demand for Grant ‘Pensions’ isadministered and controlled by theCentral Pension Accounting Office(CPAO), Department of Expenditure,New Delhi. Accordingly, the Demand‘Pensions’ for the ensuing financial yearis prepared and compiled by the CentralPension Accounting Office.(ii) The Accountant General will furnish toCPAO the estimates in respect of pensionpayments accounted for and in respectof other sub-heads to the extent operatedby them. Wherever Pensionary chargesare categorized as ‘charged’expenditure, they should be reflectedaccordingly.(iii) Director of Audit, Central Revenues willfurnish to CPAO the estimates ofpensions in respect of staff of the IndianAudit and Accounts Department retiringduring the ensuing financial year. Indoing so, estimates of Post and RailwayAudit Offices which are ab-initio debitedto their working expenses and budgetedfor separately shall be excluded.(iv) All other pensionary estimates preparedby the Accounts Offices of the variousMinistries/ Departments and UnionTerritory Administrations as also by theController General of Defence Accounts,New Delhi, will be sent to the CPAO whowill consolidate them and furnish theconsolidated estimates to the BudgetDivision.(v) Separate estimates of correspondingrecoveries from State Governmentsadjustable under the Receipt majorhead ‘0071-Contributions andRecoveries towards Pension and OtherRetirement Benefits’ should be forwardedby the CPAO to Budget Division forincorporating them in the estimates ofrevenue receipts under Department ofExpenditure.Note (1): Compassionate Fund: Theexpenditure out of ‘CompassionateFund’ is adjustable under the sub-head‘Payment from Compassionate Fund’under Major Head ‘2235-Social Securityand Welfare - Other Social Security andWelfare Programmes – OtherProgrammes’. In furnishing theestimates for payments out ofCompassionate Fund, this classificationmay be adopted.30BUDGET MANUALNote (2): Central GovernmentEmployees’ Insurance Scheme: ThisScheme is confined to those employeesonly who have opted out of the GroupInsurance Scheme introduced from 1stJanuary 1982. The Department ofExpenditure (Establishment Division) willfurnish consolidated estimates ofexpenditure to the Budget Division, underadvice to the CPAO."
SUMMARY FOR THE CABINET,"Immediately prior to the presentation ofthe Budget in Parliament, the Finance Ministerbriefs the Cabinet on the Budget proposals andthe Finance Bill. The Budget Division prepares a‘Summary for the Cabinet’ outlining in brief theRevised Estimates proposals, the BudgetCHAPTER 2ROLES AND RESPONSIBILITIES10BUDGET MANUALproposals for the ensuing year, the estimatedreceipts, including the direct and indirect taxproposals and miscellaneous financialprovisions, as proposed through the Finance Billand the brief on the compliance with the relevantprovisions of the FRBM Act and Rules. The summary note is approved by theFinance Minister. Immediately after briefing ofthe Cabinet by the Finance Minister, the Budgetis presented in Parliament."
SUMMARY FOR THE PRESIDENT,"Before presentation of the Budget,President’s recommendation is obtained underArticle 117 (1) and 117 (3) for introduction andconsideration in Lok Sabha of the :(a) Finance Bill (along with recommendationunder Article 274)(b) Appropriation Bill (General) President’s approval for the Budget isobtained through “Summary for the President”along with the documents on- (i) AnnualFinancial Statement, (ii) Finance Bill(iii) Demands for Grants and (iv) Statementsrequired to be laid under the FRBM Act, 2003. The ‘Summary for the President’ alsoincludes the direct and indirect tax proposalsand miscellaneous financial provisions asproposed through the Finance Bill. The summarynote is approved by the Finance Minister andPrime Minister before being taken for thePresident’s approval, normally in the morningof the date on which Budget is presented toParliament."
Supplementary Demand for Grants,"Article 115 of the Constitution providesfor seeking Supplementary Demands during theFinancial Year if the amount authorized byparliament is found to be insufficient or a needhas arisen for new service. Numbers ofSupplementary Demands have not beenprescribed in the Constitution. On the basis of the SupplementaryDemands for Grant s received from variousMinistr ies/Depa rtments, these c an be classifiedinto three categor ies, Cas h Supplementary,Token Supplementa ry and TechnicalSupplementary Cash supplementary is over and abovethe original Budget provisions and results inenhancement of the allocation for the Demand/Grant. For Example, if a sum of ` 1000 crore issought for by a line Ministry for payment ofSubsidy and the Ministry is unable to find anysavings within the Demand/Grant, then theadditional fund sought for, in case it is agreedto be provided, results in Cash Supplementaryor enhancement of the overall allocation for theDemand/Grant.i. Cash Supplementary impacts the fiscal/revenue deficit.ii. Cash Supplementary should be obtainedas a last resort and after proper duediligence.iii. Cash supplementary is required to havespecific approval of Secretary(Expenditure). Technical Supplementary is requiredfor transferring the savings from one section ofGrant to other. There are 4 Sections in eachDemand viz., Revenue-Voted, Revenue-Charged, Capital-Voted and Capital-Charged.There are three situation when TechnicalSupplementary is sought viz.,(a) surrender from one of the 4 sectionsmentioned above and utilizing the samein other section within the Demand,(b) transfer of a scheme from one Demandto another Demand which will result insurrender of the amount from theDemand which has transferred thescheme and utilization of the same in theother Demand, where the scheme hasbeen transferred,(c ) waivers/write offs, and51BUDGET MANUAL(d)expenditur e is propose d to be met withmatching receipts and recoveries Token supple mentary of ` crore isobtained when due to NS/NIS limits, approvalof Parliament is require d for reappropr iationtoward s utilizing the savings within the samesection of the Demand. For example, if underrevenue section there are savings under a majorhead which is proposed to be utilized in anothermajor head but falls within the purview of NS/NIS limits for expenditure , the same can bemade availabl e for re-app ropriatio n afterobtaining of a Token Supplementary. Tokensuppleme ntary does not alter revenue/fiscaldeficit position. Ministries/Departments are required toreview their requirements on following broadguidelines, before firming up their proposals forSupplementary Demands for Grants:i. Need for econo my and rationa lisatio nof expend iture;ii. Thorough review of expend iture toexplore the possibility of meetin g therequirement s for additional ity throughToken or Technical Supplementary;iii. No new schemes and programme s,excep t those that are part of theBudget announ cements shou ld normallybe introduced during the course of thefinancial year;iv. Additiona l expenditur e over and abovethe prescribe d appro ved ceilin g forindividua l schemes may not be ordinarilypermitted;v. If there is an amendment to the existingscheme leadin g to require ment s foradditiona lity, Ministries/Department sshoul d explor e and locate matchingsavings from other schemes/ projects inthe Demand;vi. The mandatory cuts in terms of theausterity instructions should be enforcedbefore determining the requirements foradditionality;vii. Proposal for Supplementary Demandshould be made only when theprogramme/scheme for whichadditional provision is sought has beenapproved by competent authority andshould be limited to the fundingrequirements within the relevant financialyear. Check list and legislative procedurerelated to Supplementary Demand for Grantsis at Annexure 9 ."
Surrender of Savings,"Ministries/Departments should surrender the savings to the Finance Ministry, by the datesprescribed by that Ministry before the close ofthe financial year, alongwith all the anticipatedsavings noticed in the Grants or Appropriationscontrolled by them. This is needed to ensure that theanticipated savings can be reallocated for otherunanticipated expenditure requirement. The Finance Ministry shall communicatethe acceptance of such surrenders as areaccepted by them to the Accounts Officer, beforethe close of the year.52BUDGET MANUAL The savings as well as provisions thatcannot be properly utilised should besurrendered to Government immediately whenthey are foreseen without waiting till the end ofthe year. No savings should be held in reservefunds for possible future excesses. Rush of expenditure, particularly in theclosing months of the Financial year, regardedas a breach of financial propriety and shall beavoided."
Budget Process,"The Budget process mainly consists oftwo types of activities: First, administrativeprocess, wherein the budget along withdocuments are prepared in consultation withvarious stakeholders; secondly, legislativeprocess wherein the Budget is passed byParliament after discussion. In this chapter, wewill discuss about the administrative process ofbudget preparation."
Union Budget Presentation,"Though Union Budget is presented on1st February or any other suitable date asdecided by the Government, the process ofBudget preparation commences in mid ofAugust of previous year and continues till theend of March. On the presumption that Budgetshall be presented at 11AM on 1st February orany other date as decided by the Government,the Budget Division prepares a comprehensiveSchedule for carrying out the Budget preparationactivities. The Schedule clearly indicates rolesand responsibilities of all the stakeholdersinvolved in the Budget preparation process."
UNION GOVERNMENT ACCOUNTS,"Accounts are a systematic record ofvarious activities and functions expressed infinancial terms and maintained. The Constitution of India envisages theaccounts of the Union and the States to be keptin such a form as the President may on theadvice of the C&AG prescribe. Accounts of the Union Government areprepared annually showing the receipts anddisbursements for the year, surplus or deficitgenerated during the year and changes inGovernment liabilities and assets. The accounts shall be prepared byController General of Accounts, certified by theComptroller and Auditor General of India andalong with the report of the Comptroller andAuditor General of India on these accounts, shallbe submitted to the President of India, preferablywithin six months of close of the Financial Year,who shall cause them to be laid before eachHouse of Parliament. Major inputs provided by the accountingauthorities to the Government and Public are inthe form of -61BUDGET MANUALi. Monthly and Annual Accounts,ii. Finance Accounts, andiii. Appropriation Accounts. Record of transactions both receipts andexpenditure by various paying and accountingauthorities are consolidated by Ministries/Departments on a monthly basis. These arerendered to the Controller General of Accountsto generate the accounts of the Government ofIndia as a whole on a monthly basis andreleased. Monthly Account provides an analysisof expenditure, revenue collection, borrowingsand deficit. These are on net basis. Finance Accounts of Government ofIndia (including transactions of Department ofPosts and Ministries of Defence and Railwaysand transactions under Public Account of Indiaof Union Territory Governments), reflect underrespective Heads the annual receipts anddisbursements and statement of balances forthe purpose of the Union. Finance Accountscomprises of two parts- Part I and Part II. Part Ipresents the summarized statements in respectof Revenue, Capital, Debt, Deposit, Suspenseand Remittances transactions and ContingencyFund, while Part II has detailed statements inrespect of these transactions, along with otherrelated statements. The Finance Accounts aresimilar to Annual Financial Statement and thereceipts are net of refunds and expenditure arenet of recoveries. Union Government FinanceAccounts do not make fiscal adjustments. Appropriation Accounts reflect theexpenditure, voted and charged, of theGovernment for each financial year comparedwith the amounts of the voted grants andappropriations charged for different purposesas specified in the schedules appended to theAppropriation Acts. Appropriation accounts areon gross basis, without any kind of adjustments. FEATURES OF ACC OUNTING SYSTEM Government accounts in India are kepton cash basis. All appropriations lapse at theclose of the financial year. Only actual receiptsand payments during the year are taken intoaccount with no outstanding liabilities or incometo be accrued included. Both receipts and payments aredifferentiated and classified in detai l. Uniformclassification upto Minor Head level enablesfinancia l comparisons between Union and StateGovernment. In case of those GovernmentDepartments where functions are purely orlargely of a comm ercial nature, their accountsare maintained on commercial basis (onmodified accrual accounting principles). Theseaccounts are subs idiary to principal accounts. For major government commercialdepartments-such as Railways, and Postsdetailed capital and revenue accounts areprepared and presented separately. This enablespresentation of true financial position, cost ofservices rendered and the return frominvestments. Government Accounts have necessarilyto comply with the budgetary structure of thecountry. Since Budgets in India are on an annualbasis, governmental transactions are alsofinalized in the accounts on an annual basis."
VOTE ON ACCOUNT," A provision has been made in theConstitution which empowers Lok Sabha tomake any grant in advance in respect of theestimated expenditure for a part of the f inancialyear pending completion of procedure for thevoting of the Demands. The purpose of ‘Voteon Account’ is to keep Government functioning,pending voting of final budget. As a convention, Vote on Account istreated as a formal affair and passed by LokSabha. After advancement of budget cycle fromlast day of February, the Vote on Account ispresented in the election year when interimBudget is presented."
